Código do domicilio,Ano de referência,Total de moradores,Código do entrevistador,Código do Núcleo PM,Condição no domicílio,Cônjuge de sexo diferente,Cônjuge do mesmo sexo,Total de filhos ou enteados,Cônjuge no domicílio,Filhos ou enteados no domicílio,Arranjo familiar,Sexo do responsável,Total de homens no domicíio,Total de mulheres no domicílio,Idade do responsável,Cor ou Raça do responsável,Relação do responsável com a APM,Total de alunos Passos Mágicos,Total de bolsistas,Total bolsistas Decisão,Total bolsistas João Paulo II,Total bolsistas Einstein,Total bosistas FIAP,Total bolsistas UNISA,Total bolsistas Estácio,Total bolsistas Outros,Total de inativos Passos Mágicos,Total PIT,Total PO,Total PD,Total trabalhadores infantis,Total FFT,Total FT,Total desempregados de longo prazo,Total trabalhadores formais,Total trabalhadores informais,Privação trabalho formal,Valor total rendas do trabalho,Total indivíduos BPC/LOAS,Valor total BPC/LOAS,Total indivíduos Bolsa Família,Valor total Bolsa Família,Total indivíduos Outros Programas,Valor total Outros Programas,Total indivíduos Aposentadoria,Valor total Aposentadoria,Total indivíduos Seguro desemprego,Valor total Seguro desemprego,Total indivíduos Pensão ou mesada,Valor total Pensão ou mesada,Total indivíduos Aluguel,Valor total Aluguel,Valor total Rendas Programas Sociais,Valor total Outras Rendas,Valor Renda total do domicílio,Origem da renda,Renda per capita,Renda per capita em faixas,Renda total em faixas,Linhas pobreza,Tipo do domicílio,Material predominante do piso,Quantos cômodos?,Quantos dormitórios?,Disponibilidade de água encanada,Quantos banheiros exclusivos?,Quantos banheiros compartilhados?,Forma de escoamento do esgoto?,Origem da energia elétrica?,Combustível usado para cozinhar?,Caracterize a propriedade do domicílio,Quantos moradores possuem telefone celular?,Possui telefone fixo?,Tem geladeira ou freezer?,Tem televisor?,Tem computador?,Tem acesso à internet?,Tem internet via celular?,Tem automóvel?
2020D3012,2020,3,Anderson,Filipinho,Pessoa responsável pelo domicílio,1,0,1,Com Cônjuge,Com filhos,União ou casamento sexo diferente,Mulher,1,2,31,Parda,Pai ou mãe de aluno(a) ativo (atualmente cursando),1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,2,0,2,0,não,3136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3136,renda do trabalho,1045.3333333333333,"R$ 836,01 a R$ 1.115,00","R$ 3.136,00 a R$ 4.180,00 [4 SM]",EG,Casa,"Cerâmica, lajota ou pedra",3,2,Canalizada em pelo menos um cômodo,1,0,"Rede geral, rede pluvial ou fossa ligada à rede",Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Próprio de algum morador - já pago,3,Não,Sim,"Sim, somente de tela fina (LED, LCD ou plasma)",Não,Sim,Sim,Sim
2020D3025,2020,6,Anderson,Filipinho,Pessoa responsável pelo domicílio,1,0,4,Com Cônjuge,Com filhos,União ou casamento sexo diferente,Mulher,2,4,37,Parda,Pai ou mãe de aluno(a) ativo (atualmente cursando),1,0,0,0,0,0,0,0,0,0,4,2,1,0,1,3,0,2,0,não,3136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3136,renda do trabalho,522.6666666666666,"R$ 278,01 a R$ 557,00","R$ 3.136,00 a R$ 4.180,00 [4 SM]",PSE2020,Casa,"Cerâmica, lajota ou pedra",4,2,Canalizada em pelo menos um cômodo,1,0,"Rede geral, rede pluvial ou fossa ligada à rede",Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Alugado,3,Não,Sim,"Sim, somente de tela fina (LED, LCD ou plasma)",Não,Sim,Sim,Sim
2020D3040,2020,5,Anderson,Filipinho,Pessoa responsável pelo domicílio,1,0,3,Com Cônjuge,Com filhos,União ou casamento sexo diferente,Mulher,2,3,32,Parda,Pai ou mãe de aluno(a) ativo (atualmente cursando),1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,0,1,0,não,1568,0,0,1,210,0,0,0,0,0,0,0,0,0,0,210,0,1778,trabalho e programas sociais,355.6,"R$ 278,01 a R$ 557,00","R$ 1.569,00 a R$ 2.090,00 [2 SM]",PSE2020,Casa,"Cerâmica, lajota ou pedra",2,1,Canalizada em pelo menos um cômodo,1,0,"Rede geral, rede pluvial ou fossa ligada à rede",Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Cedido por familiar,2,Não,Sim,"Sim, somente de tela fina (LED, LCD ou plasma)",Não,Sim,Sim,Não
2020F2026,2020,5,Diane,Cipó,Pessoa responsável pelo domicílio,1,0,3,Com Cônjuge,Com filhos,União ou casamento sexo diferente,Homem,3,2,30,Parda,Pai ou mãe de aluno(a) ativo (atualmente cursando),2,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,1,privação de trabalho formal,1045,0,0,1,204,0,0,0,0,0,0,0,0,0,0,204,0,1249,trabalho e programas sociais,249.8,"R$ 0,00 a R$ 278,00","R$ 1.046,00 a R$ 1.568,00 [1,5 SM]",pobreza,Casa,Madeira apropriada para construção,4,2,Canalizada em pelo menos um cômodo,1,0,"Rede geral, rede pluvial ou fossa ligada à rede",Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Cedido por familiar,2,Não,Sim,"Sim, somente de tela fina (LED, LCD ou plasma)",Não,Não,Sim,Não
2020F3001,2020,3,Diane,Filipinho,Pessoa responsável pelo domicílio,1,0,1,Com Cônjuge,Com filhos,União ou casamento sexo diferente,Mulher,2,1,42,Branca,Pai ou mãe de aluno(a) ativo (atualmente cursando),1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,1,1,não,3135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3135,renda do trabalho,1045.0,"R$ 836,01 a R$ 1.115,00","R$ 2.091,00 a R$ 3.135,00 [3 SM]",EG,Casa,"Cerâmica, lajota ou pedra",4,2,Canalizada em pelo menos um cômodo,2,0,Fossa não ligada à rede,Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Próprio de algum morador - já pago,3,Não,Sim,"Sim, de tela fina e de tubo",Não,Sim,Sim,Não
2020F3005,2020,5,Diane,Filipinho,Pessoa responsável pelo domicílio,1,0,3,Com Cônjuge,Com filhos,União ou casamento sexo diferente,Mulher,2,3,34,Branca,Pai ou mãe de aluno(a) ativo (atualmente cursando),3,0,0,0,0,0,0,0,0,0,3,1,0,0,2,1,1,0,1,privação de trabalho formal,1568,0,0,1,130,0,0,0,0,0,0,0,0,0,0,130,0,1698,trabalho e programas sociais,339.6,"R$ 278,01 a R$ 557,00","R$ 1.569,00 a R$ 2.090,00 [2 SM]",PSE2020,Casa,"Cerâmica, lajota ou pedra",5,2,Canalizada em pelo menos um cômodo,1,0,Fossa não ligada à rede,Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Cedido por familiar,2,Não,Sim,"Sim, de tela fina e de tubo",Não,Sim,Sim,Não
2020F3007,2020,4,Diane,Filipinho,Pessoa responsável pelo domicílio,1,0,2,Com Cônjuge,Com filhos,União ou casamento sexo diferente,Mulher,1,3,25,Parda,Pai ou mãe de aluno(a) ativo (atualmente cursando),2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,1,1,1,não,1568,0,0,1,268,0,0,0,0,0,0,0,0,0,0,268,0,1836,trabalho e programas sociais,459.0,"R$ 278,01 a R$ 557,00","R$ 1.569,00 a R$ 2.090,00 [2 SM]",PSE2020,Apartamento,"Cerâmica, lajota ou pedra",4,2,Canalizada em pelo menos um cômodo,1,0,"Rede geral, rede pluvial ou fossa ligada à rede",Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Próprio de algum morador - ainda pagando,2,Não,Sim,"Sim, somente de tela fina (LED, LCD ou plasma)",Não,Sim,Sim,Sim
2020F3008,2020,3,Diane,Filipinho,Pessoa responsável pelo domicílio,1,0,1,Com Cônjuge,Com filhos,União ou casamento sexo diferente,Homem,1,2,41,Parda,Pai ou mãe de aluno(a) ativo (atualmente cursando),1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,privação de trabalho formal,0,2,1980,0,0,0,0,0,0,0,0,0,0,0,0,1980,0,1980,programas sociais,660.0,"R$ 557,01 a R$ 836,00","R$ 1.569,00 a R$ 2.090,00 [2 SM]",PSE2020,Apartamento,"Cerâmica, lajota ou pedra",4,2,Canalizada em pelo menos um cômodo,1,0,"Rede geral, rede pluvial ou fossa ligada à rede",Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Próprio de algum morador - ainda pagando,1,Não,Sim,"Sim, somente de tubo",Sim,Sim,Sim,Não
2020F3009,2020,5,Diane,Filipinho,Pessoa responsável pelo domicílio,1,0,3,Com Cônjuge,Com filhos,União ou casamento sexo diferente,Mulher,3,2,47,Parda,Pai ou mãe de aluno(a) ativo (atualmente cursando),2,1,1,0,0,0,0,0,0,0,4,2,0,0,2,2,2,1,1,não,4702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4702,renda do trabalho,940.4,"R$ 836,01 a R$ 1.115,00","R$ 4.181,00 a R$ 5.225,00 [5 SM]",EG,Casa,"Cerâmica, lajota ou pedra",5,3,Canalizada em pelo menos um cômodo,1,0,"Rede geral, rede pluvial ou fossa ligada à rede",Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Próprio de algum morador - já pago,4,Não,Sim,"Sim, somente de tela fina (LED, LCD ou plasma)",Sim,Sim,Sim,Sim
2020F3010,2020,3,Diane,Filipinho,Pessoa responsável pelo domicílio,1,0,1,Com Cônjuge,Com filhos,União ou casamento sexo diferente,Mulher,1,2,48,Branca,Pai ou mãe de aluno(a) ativo (atualmente cursando),1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,privação de trabalho formal,0,0,0,1,41,0,0,0,0,0,0,0,0,0,0,41,0,41,programas sociais,13.666666666666666,"R$ 0,00 a R$ 278,00","R$1,00 a R$ 525,00 [0,5 SM]",miséria,Casa,"Cerâmica, lajota ou pedra",5,2,Canalizada em pelo menos um cômodo,1,0,Fossa não ligada à rede,Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Próprio de algum morador - já pago,1,Não,Sim,"Sim, somente de tubo",Não,Não,Sim,Sim
2020F3012,2020,4,Diane,Filipinho,Pessoa responsável pelo domicílio,1,0,2,Com Cônjuge,Com filhos,União ou casamento sexo diferente,Mulher,3,1,33,Parda,Pai ou mãe de aluno(a) ativo (atualmente cursando),1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,1,0,1,privação de trabalho formal,1045,0,0,0,0,0,0,0,0,0,0,1,200,0,0,0,200,1245,trabaho e outras rendas,311.25,"R$ 278,01 a R$ 557,00","R$ 1.046,00 a R$ 1.568,00 [1,5 SM]",pobreza,Apartamento,"Cerâmica, lajota ou pedra",4,2,Canalizada em pelo menos um cômodo,1,0,"Rede geral, rede pluvial ou fossa ligada à rede",Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Próprio de algum morador - ainda pagando,2,Não,Sim,"Sim, somente de tela fina (LED, LCD ou plasma)",Não,Sim,Não,Sim
2020F3013,2020,7,Diane,Filipinho,Pessoa responsável pelo domicílio,1,0,5,Com Cônjuge,Com filhos,União ou casamento sexo diferente,Mulher,3,4,38,Parda,Pai ou mãe de aluno(a) ativo (atualmente cursando),2,0,0,0,0,0,0,0,0,0,5,1,1,0,3,2,1,0,1,privação de trabalho formal,1045,0,0,0,0,0,0,0,0,0,0,2,1040,0,0,0,1040,2085,trabaho e outras rendas,297.85714285714283,"R$ 278,01 a R$ 557,00","R$ 1.569,00 a R$ 2.090,00 [2 SM]",pobreza,Apartamento,"Cerâmica, lajota ou pedra",4,2,Canalizada em pelo menos um cômodo,1,0,"Rede geral, rede pluvial ou fossa ligada à rede",Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Próprio de algum morador - ainda pagando,7,Não,Sim,"Sim, somente de tela fina (LED, LCD ou plasma)",Não,Não,Sim,Sim
2020F3014,2020,5,Diane,Filipinho,Pessoa responsável pelo domicílio,0,0,3,Sem Cônjuge,Com filhos,Monoparental,Mulher,1,4,32,Parda,Pai ou mãe de aluno(a) ativo (atualmente cursando),3,1,1,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,1,privação de trabalho formal,0,0,0,0,0,0,0,1,1065,0,0,0,0,0,0,1065,0,1065,programas sociais,213.0,"R$ 0,00 a R$ 278,00","R$ 1.046,00 a R$ 1.568,00 [1,5 SM]",pobreza,Apartamento,"Cerâmica, lajota ou pedra",4,2,Canalizada em pelo menos um cômodo,1,0,"Rede geral, rede pluvial ou fossa ligada à rede",Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Próprio de algum morador - ainda pagando,2,Não,Sim,"Sim, de tela fina e de tubo",Não,Não,Sim,Não
2020F3015,2020,2,Diane,Filipinho,Pessoa responsável pelo domicílio,0,0,1,Sem Cônjuge,Com filhos,Monoparental,Mulher,1,1,36,Branca,Pai ou mãe de aluno(a) ativo (atualmente cursando),1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,privação de trabalho formal,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045,renda do trabalho,522.5,"R$ 278,01 a R$ 557,00","R$ 526,00 [0,5 SM] a R$ 1.045,00 [1 SM]",PSE2020,Apartamento,"Cerâmica, lajota ou pedra",4,2,Canalizada em pelo menos um cômodo,1,0,"Rede geral, rede pluvial ou fossa ligada à rede",Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Próprio de algum morador - ainda pagando,1,Não,Sim,"Sim, somente de tela fina (LED, LCD ou plasma)",Não,Não,Sim,Não
2020F3016,2020,3,Diane,Filipinho,Pessoa responsável pelo domicílio,1,0,1,Com Cônjuge,Com filhos,União ou casamento sexo diferente,Mulher,1,2,44,Parda,Pai ou mãe de aluno(a) ativo (atualmente cursando),1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,privação de trabalho formal,0,0,0,0,0,0,0,0,0,0,0,1,1045,0,0,0,1045,1045,outras rendas,348.3333333333333,"R$ 278,01 a R$ 557,00","R$ 526,00 [0,5 SM] a R$ 1.045,00 [1 SM]",PSE2020,Casa,"Cerâmica, lajota ou pedra",3,1,Canalizada em pelo menos um cômodo,1,0,Fossa não ligada à rede,Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Alugado,2,Não,Sim,"Sim, somente de tela fina (LED, LCD ou plasma)",Não,Não,Sim,Não
2020F3018,2020,3,Diane,Filipinho,Pessoa responsável pelo domicílio,1,0,1,Com Cônjuge,Com filhos,União ou casamento sexo diferente,Mulher,2,1,31,Branca,Pai ou mãe de aluno(a) ativo (atualmente cursando),1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,1,1,não,3136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3136,renda do trabalho,1045.3333333333333,"R$ 836,01 a R$ 1.115,00","R$ 3.136,00 a R$ 4.180,00 [4 SM]",EG,Casa,"Cerâmica, lajota ou pedra",3,2,Canalizada em pelo menos um cômodo,1,0,"Rede geral, rede pluvial ou fossa ligada à rede",Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Cedido por familiar,2,Não,Sim,"Sim, somente de tela fina (LED, LCD ou plasma)",Não,Sim,Não,Sim
2020F3019,2020,5,Diane,Filipinho,Pessoa responsável pelo domicílio,1,0,3,Com Cônjuge,Com filhos,União ou casamento sexo diferente,Mulher,2,3,36,Parda,Pai ou mãe de aluno(a) ativo (atualmente cursando),3,1,1,0,0,0,0,0,0,0,3,1,1,0,1,2,0,1,0,não,1045,0,0,1,136,0,0,0,0,0,0,0,0,0,0,136,0,1181,trabalho e programas sociais,236.2,"R$ 0,00 a R$ 278,00","R$ 1.046,00 a R$ 1.568,00 [1,5 SM]",pobreza,Apartamento,"Cerâmica, lajota ou pedra",4,2,Canalizada em pelo menos um cômodo,1,0,"Rede geral, rede pluvial ou fossa ligada à rede",Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Próprio de algum morador - ainda pagando,3,Não,Sim,"Sim, somente de tela fina (LED, LCD ou plasma)",Sim,Sim,Sim,Não
2020F3022,2020,2,Diane,Filipinho,Pessoa responsável pelo domicílio,0,0,1,Sem Cônjuge,Com filhos,Monoparental,Mulher,0,2,40,Parda,Pai ou mãe de aluno(a) ativo (atualmente cursando),1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,privação de trabalho formal,0,0,0,1,65,0,0,0,0,0,0,1,600,1,300,65,900,965,programas sociais e outras rendas,482.5,"R$ 278,01 a R$ 557,00","R$ 526,00 [0,5 SM] a R$ 1.045,00 [1 SM]",PSE2020,Apartamento,"Cerâmica, lajota ou pedra",4,2,Canalizada em pelo menos um cômodo,1,0,"Rede geral, rede pluvial ou fossa ligada à rede",Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Próprio de algum morador - ainda pagando,1,Não,Sim,"Sim, somente de tela fina (LED, LCD ou plasma)",Não,Sim,Não,Não
2020F3023,2020,2,Diane,Filipinho,Pessoa responsável pelo domicílio,0,0,1,Sem Cônjuge,Com filhos,Monoparental,Homem,2,0,38,Parda,Pai ou mãe de aluno(a) ativo (atualmente cursando),1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,privação de trabalho formal,1045,0,0,1,180,0,0,0,0,0,0,0,0,0,0,180,0,1225,trabalho e programas sociais,612.5,"R$ 557,01 a R$ 836,00","R$ 1.046,00 a R$ 1.568,00 [1,5 SM]",PSE2020,Apartamento,"Cerâmica, lajota ou pedra",4,2,Canalizada em pelo menos um cômodo,1,0,"Rede geral, rede pluvial ou fossa ligada à rede",Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Próprio de algum morador - ainda pagando,1,Não,Sim,"Sim, somente de tela fina (LED, LCD ou plasma)",Não,Sim,Sim,Não
2020F3024,2020,5,Diane,Filipinho,Pessoa responsável pelo domicílio,0,0,4,Sem Cônjuge,Com filhos,Monoparental,Mulher,2,3,78,Parda,Avô(ó) de aluno(a) ativo (atualmente cursando),2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,privação de trabalho formal,0,0,0,1,123,0,0,1,1045,0,0,0,0,0,0,1168,0,1168,programas sociais,233.6,"R$ 0,00 a R$ 278,00","R$ 1.046,00 a R$ 1.568,00 [1,5 SM]",pobreza,Apartamento,"Cerâmica, lajota ou pedra",4,2,Canalizada em pelo menos um cômodo,1,0,"Rede geral, rede pluvial ou fossa ligada à rede",Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Próprio de algum morador - ainda pagando,2,Não,Sim,"Sim, somente de tela fina (LED, LCD ou plasma)",Não,Não,Não,Não
2020F3025,2020,4,Diane,Filipinho,Pessoa responsável pelo domicílio,1,0,2,Com Cônjuge,Com filhos,União ou casamento sexo diferente,Mulher,3,1,25,Branca,Pai ou mãe de aluno(a) ativo (atualmente cursando),0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,2,1,1,0,não,1045,0,0,1,309,0,0,0,0,0,0,0,0,0,0,309,0,1354,trabalho e programas sociais,338.5,"R$ 278,01 a R$ 557,00","R$ 1.046,00 a R$ 1.568,00 [1,5 SM]",PSE2020,Casa,"Cerâmica, lajota ou pedra",4,2,Canalizada em pelo menos um cômodo,1,0,"Rede geral, rede pluvial ou fossa ligada à rede",Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Cedido por familiar,2,Não,Sim,"Sim, somente de tela fina (LED, LCD ou plasma)",Não,Não,Não,Sim
2020F4000,2020,6,Diane,Granjinha,Pessoa responsável pelo domicílio,0,1,3,Com Cônjuge,Com filhos,União ou casamento mesmo sexo,Mulher,1,5,39,Parda,Pai ou mãe de aluno(a) ativo (atualmente cursando),1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,privação de trabalho formal,1045,0,0,0,0,2,55,1,0,1,550,0,0,0,0,605,0,1650,trabalho e programas sociais,275.0,"R$ 0,00 a R$ 278,00","R$ 1.569,00 a R$ 2.090,00 [2 SM]",pobreza,Casa,"Cerâmica, lajota ou pedra",3,2,Canalizada só na propriedade ou terreno,1,0,Fossa não ligada à rede,Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Cedido por familiar,3,Não,Sim,"Sim, somente de tubo",Não,Não,Sim,Não
2020F4002,2020,5,Diane,Granjinha,Pessoa responsável pelo domicílio,1,0,3,Com Cônjuge,Com filhos,União ou casamento sexo diferente,Mulher,2,3,46,Branca,Pai ou mãe de aluno(a) ativo (atualmente cursando),2,0,0,0,0,0,0,0,0,0,3,2,0,0,1,2,0,1,1,não,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2090,renda do trabalho,418.0,"R$ 278,01 a R$ 557,00","R$ 1.569,00 a R$ 2.090,00 [2 SM]",PSE2020,Casa,"Cerâmica, lajota ou pedra",3,2,Canalizada em pelo menos um cômodo,1,0,"Rede geral, rede pluvial ou fossa ligada à rede",Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Cedido por familiar,3,Sim,Sim,"Sim, somente de tela fina (LED, LCD ou plasma)",Não,Sim,Sim,Não
2020F4003,2020,5,Diane,Granjinha,Pessoa responsável pelo domicílio,1,0,3,Com Cônjuge,Com filhos,União ou casamento sexo diferente,Mulher,4,1,28,Parda,Pai ou mãe de aluno(a) ativo (atualmente cursando),2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,0,0,1,privação de trabalho formal,1045,0,0,1,123,0,0,0,0,0,0,0,0,0,0,123,0,1168,trabalho e programas sociais,233.6,"R$ 0,00 a R$ 278,00","R$ 1.046,00 a R$ 1.568,00 [1,5 SM]",pobreza,Casa,"Cerâmica, lajota ou pedra",3,1,Canalizada em pelo menos um cômodo,1,0,Fossa não ligada à rede,Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Próprio de algum morador - já pago,1,Não,Sim,"Sim, somente de tela fina (LED, LCD ou plasma)",Não,Não,Sim,Não
2020F4004,2020,4,Diane,Granjinha,Pessoa responsável pelo domicílio,1,0,2,Com Cônjuge,Com filhos,União ou casamento sexo diferente,Mulher,2,2,32,Branca,Pai ou mãe de aluno(a) ativo (atualmente cursando),1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1,0,não,1568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568,renda do trabalho,392.0,"R$ 278,01 a R$ 557,00","R$ 1.046,00 a R$ 1.568,00 [1,5 SM]",PSE2020,Casa,"Cerâmica, lajota ou pedra",4,2,Canalizada em pelo menos um cômodo,1,0,Fossa não ligada à rede,Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Cedido por familiar,3,Não,Sim,"Sim, somente de tela fina (LED, LCD ou plasma)",Sim,Sim,Não,Sim
2020F4006,2020,6,Diane,Granjinha,Pessoa responsável pelo domicílio,1,0,4,Com Cônjuge,Com filhos,União ou casamento sexo diferente,Mulher,2,4,36,Parda,Pai ou mãe de aluno(a) ativo (atualmente cursando),2,0,0,0,0,0,0,0,0,0,4,2,0,0,2,2,0,0,4,privação de trabalho formal,1045,0,0,1,260,0,0,0,0,0,0,0,0,0,0,260,0,1305,trabalho e programas sociais,217.5,"R$ 0,00 a R$ 278,00","R$ 1.046,00 a R$ 1.568,00 [1,5 SM]",pobreza,Casa,"Cerâmica, lajota ou pedra",4,2,Canalizada em pelo menos um cômodo,1,0,Vala,Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Cedido por familiar,2,Não,Sim,"Sim, de tela fina e de tubo",Não,Não,Não,Não
2020F4011,2020,5,Diane,Granjinha,Pessoa responsável pelo domicílio,1,0,3,Com Cônjuge,Com filhos,União ou casamento sexo diferente,Mulher,2,3,43,Branca,Pai ou mãe de aluno(a) ativo (atualmente cursando),1,0,0,0,0,0,0,0,0,0,4,1,1,0,2,2,1,0,1,privação de trabalho formal,1045,0,0,1,146,0,0,0,0,0,0,0,0,0,0,146,0,1191,trabalho e programas sociais,238.2,"R$ 0,00 a R$ 278,00","R$ 1.046,00 a R$ 1.568,00 [1,5 SM]",pobreza,Casa,"Cerâmica, lajota ou pedra",5,3,Canalizada em pelo menos um cômodo,1,0,"Rede geral, rede pluvial ou fossa ligada à rede",Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Próprio de algum morador - já pago,2,Não,Sim,"Sim, somente de tela fina (LED, LCD ou plasma)",Não,Não,Não,Não
2020F4017,2020,4,Diane,Granjinha,Pessoa responsável pelo domicílio,1,0,2,Com Cônjuge,Com filhos,União ou casamento sexo diferente,Mulher,2,2,28,Branca,Pai ou mãe de aluno(a) ativo (atualmente cursando),2,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,1,privação de trabalho formal,1045,0,0,1,240,0,0,0,0,0,0,0,0,0,0,240,0,1285,trabalho e programas sociais,321.25,"R$ 278,01 a R$ 557,00","R$ 1.046,00 a R$ 1.568,00 [1,5 SM]",pobreza,Casa,"Cerâmica, lajota ou pedra",4,2,Canalizada em pelo menos um cômodo,1,0,"Rede geral, rede pluvial ou fossa ligada à rede",Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Cedido de outra forma,2,Não,Sim,"Sim, somente de tela fina (LED, LCD ou plasma)",Não,Sim,Sim,Não
2020F4020,2020,5,Diane,Granjinha,Pessoa responsável pelo domicílio,1,0,3,Com Cônjuge,Com filhos,União ou casamento sexo diferente,Mulher,3,2,32,Parda,Pai ou mãe de aluno(a) ativo (atualmente cursando),1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1,0,não,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045,renda do trabalho,209.0,"R$ 0,00 a R$ 278,00","R$ 526,00 [0,5 SM] a R$ 1.045,00 [1 SM]",pobreza,Casa,"Cerâmica, lajota ou pedra",4,2,Canalizada em pelo menos um cômodo,1,0,"Rede geral, rede pluvial ou fossa ligada à rede",Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Cedido por familiar,2,Sim,Sim,"Sim, somente de tela fina (LED, LCD ou plasma)",Não,Sim,Sim,Não
2020F4021,2020,6,Diane,Granjinha,Pessoa responsável pelo domicílio,0,1,3,Com Cônjuge,Com filhos,União ou casamento mesmo sexo,Mulher,1,5,40,Parda,Pai ou mãe de aluno(a) ativo (atualmente cursando),1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1,0,não,1045,0,0,1,210,0,0,0,0,0,0,1,1045,0,0,210,1045,2300,trabalho e programas sociais e outras rendas,383.3333333333333,"R$ 278,01 a R$ 557,00","R$ 2.091,00 a R$ 3.135,00 [3 SM]",PSE2020,Casa,"Cerâmica, lajota ou pedra",5,2,Canalizada em pelo menos um cômodo,1,0,"Rede geral, rede pluvial ou fossa ligada à rede",Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Alugado,1,Não,Sim,"Sim, somente de tela fina (LED, LCD ou plasma)",Não,Não,Sim,Não
2020G1000,2020,4,Josiane,Centro,Pessoa responsável pelo domicílio,1,0,2,Com Cônjuge,Com filhos,União ou casamento sexo diferente,Homem,1,3,36,Parda,Pai ou mãe de aluno(a) ativo (atualmente cursando),1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1,1,não,1568,1,55,1,355,0,0,0,0,0,0,0,0,0,0,410,0,1978,trabalho e programas sociais,494.5,"R$ 278,01 a R$ 557,00","R$ 1.569,00 a R$ 2.090,00 [2 SM]",PSE2020,Casa,"Cerâmica, lajota ou pedra",4,2,Canalizada só na propriedade ou terreno,1,0,"Rede geral, rede pluvial ou fossa ligada à rede",Utiliza ao menos uma fonte de energia elétrica,Gás de botijão,Alugado,2,Não,Sim,"Sim, somente de tela fina (LED, LCD ou plasma)",Sim,Sim,Sim,Não
